generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_std,mature_agent_count,mature_average_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
19,16500,16,155,139,2981,2160.9,2430.0,0.5963,0.9339,0.1909,16,0.5963,0.3484,0.5582,0.769,0.8357,0.2889,3.25,-0.0189,0.4709,-0.0596,0.3936,0.3125,0.0,0.0,0.25,0.3125,0.125,0,1,7,0.8513,0.4998,0.5857,9.4793,7,6
20,17000,19,163,144,2930,1556.2,2000.0,0.4499,0.9643,0.2877,19,0.4499,0.1195,0.4219,0.708,0.8459,0.2905,3.3919,0.0088,0.5298,0.1194,0.3567,0.1053,0.0,0.0,0.3158,0.3684,0.2105,8,5,7,0.8617,0.5009,0.5899,9.5951,54,9
21,17500,19,169,150,2500,1257.0,981.0,0.401,0.9333,0.2996,19,0.401,0.0746,0.3358,0.5999,0.8703,0.2454,3.1158,0.0696,0.4017,0.103,0.3582,0.1579,0.0,0.0,0.2105,0.2632,0.3684,6,6,5,0.8084,0.5032,0.5908,9.0025,63,6
22,18000,20,176,156,1481,769.1,836.0,0.2502,0.7107,0.2192,13,0.3849,0.1806,0.4057,0.4619,0.528,0.2025,2.5842,0.033,0.326,0.0084,0.3581,0.2,0.0,0.0,0.15,0.2,0.45,7,6,6,0.896,0.496,0.5851,9.9776,130,18
22,18500,19,176,157,1981,1309.6,1336.0,0.4043,0.8489,0.2434,19,0.4043,0.1088,0.5073,0.5739,0.6808,0.2698,3.1761,0.0177,0.4149,0.0602,0.4235,0.3158,0.0,0.0,0.2105,0.3684,0.1053,0,1,6,0.8831,0.4955,0.5852,9.8341,0,2
22,19000,15,176,161,2481,1969.8,1836.0,0.607,0.9308,0.228,15,0.607,0.2441,0.7058,0.7588,0.8255,0.2614,3.1069,-0.0161,0.3937,0.0285,0.4221,0.2667,0.0,0.0,0.2,0.2667,0.2667,0,4,6,0.8648,0.4992,0.5885,9.6302,7,12
23,19500,20,182,162,2981,1762.5,2336.0,0.5463,0.9975,0.3712,14,0.7597,0.3808,0.844,0.87,0.9675,0.228,2.5394,0.0199,0.3609,0.0849,0.3614,0.2,0.0,0.0,0.15,0.3,0.35,6,1,5,0.848,0.5007,0.5904,9.4435,1,0
24,20000,17,189,172,2836,1162.9,590.0,0.3834,0.9713,0.3377,17,0.3834,0.1194,0.1777,0.6917,0.9392,0.2212,2.6962,0.1263,0.2682,0.004,0.4108,0.3529,0.0,0.0,0.1176,0.2941,0.2353,7,10,6,0.7746,0.5075,0.5949,8.6258,124,31
25,20500,20,197,177,2500,831.6,981.0,0.2703,0.8333,0.1947,20,0.2703,0.0793,0.2547,0.326,0.494,0.2772,2.6905,0.0258,0.4534,0.1788,0.4334,0.15,0.0,0.0,0.25,0.45,0.15,8,5,7,0.8902,0.5055,0.596,9.913,111,9
25,21000,18,197,179,1590,1266.5,1481.0,0.392,0.7601,0.1746,18,0.392,0.1877,0.4065,0.4915,0.6325,0.2774,2.6416,0.0077,0.4402,0.1955,0.4375,0.1667,0.0,0.0,0.2222,0.3889,0.2222,0,2,7,0.8853,0.5056,0.5957,9.8579,20,5
