generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,fitness_std,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
29,29000,20,242,222,2475,1021.0,780.0,0.3133,0.705,0.0879,0.3105,0.3866,0.6325,0.1915,0.2429,3.1842,0.2145,0.452,0.5285,0.2848,0.0,0.0,0.0,0.15,0.55,0.3,6,1,6,0.8554,0.51,0.6029,9.5255,3,1
29,29500,19,242,223,2975,1444.4,1280.0,0.4388,0.8217,0.2075,0.4267,0.55,0.7279,0.1923,0.2317,3.2608,0.2288,0.3968,0.5188,0.3058,0.0,0.0,0.0,0.2105,0.5263,0.2632,0,1,6,0.8503,0.5085,0.6016,9.4687,9,6
30,30000,20,248,228,2388,1265.2,1504.5,0.3764,0.8373,0.0051,0.4148,0.5389,0.7679,0.2726,0.2375,3.2037,0.0248,0.4257,0.5651,0.3079,0.05,0.0,0.0,0.25,0.3,0.4,6,5,5,0.8565,0.5128,0.6061,9.538,28,7
30,30500,17,248,231,2888,1844.9,2280.0,0.5449,0.9851,0.1671,0.5919,0.6351,0.889,0.2479,0.2213,2.9842,-0.0359,0.3673,0.528,0.3261,0.0588,0.0,0.0,0.2941,0.2353,0.4118,0,3,5,0.8623,0.5136,0.6069,9.6022,4,6
31,31000,18,254,236,2780,1633.9,1627.5,0.4769,0.9707,0.0956,0.5003,0.7144,0.8142,0.3026,0.2223,3.2391,-0.0669,0.3863,0.5533,0.3007,0.0,0.0,0.0,0.2778,0.3333,0.3889,6,5,6,0.8387,0.5107,0.6022,9.3398,45,15
32,31500,20,262,242,2729,1048.5,888.0,0.2993,0.8139,0.0726,0.2183,0.4394,0.7664,0.2489,0.2566,3.166,-0.0155,0.4834,0.5023,0.2923,0.0,0.0,0.0,0.35,0.4,0.25,8,6,8,0.7863,0.5123,0.6045,8.7554,104,14
32,32000,15,262,247,2026,1274.4,1388.0,0.3434,0.6911,0.1822,0.2862,0.4826,0.5355,0.1583,0.2918,3.5069,-0.1286,0.5023,0.4677,0.3574,0.0,0.0,0.0,0.4667,0.2667,0.2667,0,5,8,0.7518,0.5108,0.6022,8.3716,47,9
33,32500,18,268,250,2526,1353.4,1280.0,0.3716,0.9368,0.1055,0.3505,0.4932,0.6138,0.218,0.251,3.2391,0.018,0.4088,0.4153,0.3556,0.0,0.0,0.0,0.2222,0.4444,0.3333,6,3,5,0.804,0.5113,0.604,8.9534,8,8
34,33000,20,274,254,2388,1102.6,972.0,0.3062,0.8184,0.005,0.2993,0.4765,0.6031,0.2502,0.2567,3.3842,-0.0103,0.3885,0.4294,0.3923,0.05,0.0,0.0,0.35,0.35,0.25,6,4,6,0.8799,0.5134,0.6057,9.7984,33,3
34,33500,18,274,256,2888,1617.1,1472.0,0.4709,0.9351,0.189,0.4678,0.6427,0.7535,0.2344,0.2156,2.7527,0.0567,0.2906,0.4717,0.3857,0.0556,0.0,0.0,0.1667,0.3889,0.3889,0,2,6,0.8897,0.5133,0.6058,9.9068,0,0
34,34000,15,274,259,2780,1862.9,1972.0,0.5438,0.9544,0.3186,0.5379,0.6926,0.7507,0.1908,0.1975,2.2062,0.1291,0.2182,0.5166,0.4004,0.0667,0.0,0.0,0.0667,0.4,0.4667,0,3,6,0.9203,0.514,0.6081,10.248,37,7
36,34500,20,286,266,2472,958.4,423.0,0.3041,0.8296,0.0159,0.158,0.5373,0.6459,0.2773,0.2474,2.9414,0.1027,0.4394,0.5844,0.3362,0.05,0.0,0.0,0.25,0.4,0.3,12,7,6,0.9228,0.5095,0.6005,10.2764,63,10
